epoch,train_loss,val_loss,train_dice,val_dice
1,1.436380,0.914064,0.302602,0.400599
2,1.383631,0.908529,0.461917,0.366235
3,1.341223,0.902424,0.484435,0.550080
4,1.295493,0.895506,0.527629,0.524831
5,1.250130,0.888733,0.560075,0.588860
6,1.208409,0.881618,0.584459,0.596645
7,1.170408,0.873760,0.615026,0.578267
8,1.135004,0.865159,0.643403,0.676582
9,1.093462,0.832195,0.671759,0.628703
10,1.045150,0.814260,0.693632,0.712529
11,1.005119,0.793027,0.723862,0.715390
12,0.966067,0.773676,0.744090,0.675442
13,0.932125,0.758097,0.757084,0.771053
14,0.903405,0.728866,0.768722,0.743247
15,0.863192,0.712010,0.784327,0.756083
16,0.842851,0.693349,0.778575,0.781303
17,0.811872,0.665696,0.785660,0.808372
18,0.771663,0.641312,0.811681,0.801640
19,0.745466,0.622864,0.819832,0.805785
20,0.711077,0.601346,0.832518,0.806968
21,0.683698,0.581946,0.836826,0.776499
22,0.653425,0.562822,0.850137,0.792702
23,0.639310,0.546393,0.843453,0.828456
24,0.622561,0.538171,0.848932,0.847127
25,0.593741,0.511415,0.854343,0.816013
26,0.572408,0.493430,0.861521,0.832011
27,0.569915,0.503724,0.847551,0.771283
28,0.557117,0.468520,0.851301,0.846972
29,0.535112,0.457227,0.856001,0.850712
30,0.513894,0.442460,0.865349,0.838595
31,0.492888,0.431001,0.873413,0.850387
32,0.481800,0.419202,0.876140,0.848304
33,0.467360,0.406980,0.877651,0.849922
34,0.458875,0.398338,0.873966,0.849113
35,0.446807,0.388312,0.882088,0.859237
36,0.435419,0.383986,0.882215,0.856465
37,0.424313,0.370044,0.886336,0.853858
38,0.415325,0.370396,0.887610,0.867436
39,0.408824,0.357630,0.886959,0.859085
40,0.398890,0.350836,0.889462,0.860020
41,0.392709,0.347773,0.890480,0.858251
42,0.385746,0.341956,0.890332,0.868875
43,0.378628,0.331669,0.893081,0.865810
44,0.371713,0.328451,0.893162,0.869926
45,0.362146,0.325717,0.895673,0.866297
46,0.359456,0.320173,0.896596,0.857171
47,0.353862,0.322751,0.897517,0.870609
48,0.346720,0.318861,0.899798,0.869109
49,0.344124,0.311830,0.900962,0.871524
50,0.342730,0.305652,0.896922,0.865962
51,0.339004,0.303586,0.898162,0.867676
52,0.333679,0.299954,0.900698,0.868319
53,0.327947,0.296976,0.902210,0.869381
54,0.320424,0.295943,0.906457,0.868983
55,0.318927,0.296880,0.906958,0.871762
56,0.318082,0.292608,0.905282,0.869733
57,0.315358,0.286287,0.906605,0.868759
58,0.315018,0.286692,0.903470,0.869254
59,0.309116,0.291773,0.906428,0.871804
60,0.306784,0.282861,0.907316,0.868887
61,0.305750,0.284157,0.907861,0.869873
62,0.299383,0.283352,0.912200,0.872005
63,0.299580,0.281695,0.910943,0.870193
64,0.296706,0.279443,0.911453,0.870689
65,0.296152,0.277951,0.912106,0.870783
66,0.293899,0.279449,0.913301,0.871781
67,0.293167,0.277928,0.913013,0.871947
68,0.289544,0.275764,0.915187,0.871448
69,0.290631,0.277019,0.914723,0.872955
70,0.291416,0.275127,0.912849,0.872157
71,0.287837,0.276468,0.915415,0.872077
72,0.288440,0.274779,0.915254,0.870767
73,0.287020,0.277192,0.915061,0.872109
74,0.287596,0.275167,0.916905,0.871769
75,0.287289,0.275291,0.914762,0.871884
76,0.286658,0.275223,0.917468,0.872115
77,0.286843,0.274802,0.916291,0.871826
78,0.286860,0.274817,0.916487,0.871898
79,0.286600,0.275118,0.915423,0.871996
80,0.283824,0.275087,0.917263,0.871994
